study,Number.of.Event.in.arm.1,Number.of.Event.in.arm.2,Number.of.Event.in.arm.3,Total.number.in.arm.1,Total.number.in.arm.2,Total.number.in.arm.3,Total,Arm.1,Arm.2,Arm.3,Number.of.arms,Arm1,Arm2,Arm3
1,25,17,20,41,84,100,225,A,B,C,3,1,2,3
2,36,32,NA,41,84,NA,125,A,B,NA,2,1,2,NA
3,19,7,NA,25,25,NA,50,A,B,NA,2,1,2,NA
4,20,5,NA,25,50,NA,75,A,B,NA,2,1,2,NA
5,41,47,NA,50,100,NA,150,A,B,NA,2,1,2,NA
6,122,69,NA,160,314,NA,474,A,E,NA,2,1,5,NA
7,236,53,NA,402,399,NA,801,A,E,NA,2,1,5,NA
8,23,15,NA,27,52,NA,79,A,E,NA,2,1,5,NA
9,175,166,NA,281,274,NA,555,B,E,NA,2,2,5,NA
10,57,20,NA,119,118,NA,237,B,E,NA,2,2,5,NA
11,19,12,NA,100,100,NA,200,B,E,NA,2,2,5,NA
12,19,7,NA,100,100,NA,200,B,E,NA,2,2,5,NA
13,16,21,NA,258,254,NA,512,B,E,NA,2,2,5,NA
14,42,15,NA,50,100,NA,150,A,B,NA,2,1,2,NA
15,64,34,NA,154,154,NA,308,A,C,NA,2,1,3,NA
16,34,15,NA,53,106,NA,159,A,C,NA,2,1,3,NA
17,70,42,NA,130,129,NA,259,A,C,NA,2,1,3,NA
18,92,31,NA,121,121,NA,242,A,C,NA,2,1,3,NA
19,35,20,NA,45,90,NA,135,A,C,NA,2,1,3,NA
20,41,62,NA,59,117,NA,176,A,C,NA,2,1,3,NA
21,37,15,NA,43,85,NA,128,A,C,NA,2,1,3,NA
22,16,21,NA,18,35,NA,53,A,C,NA,2,1,3,NA
23,70,35,NA,122,123,NA,245,A,B,NA,2,1,2,NA
24,204,71,NA,300,300,NA,600,A,D,NA,2,1,4,NA
25,111,66,NA,523,526,NA,1049,C,E,NA,2,3,5,NA
26,60,50,NA,305,297,NA,602,B,C,NA,2,2,3,NA
