study,Number.of.Event.in.arm.1,Number.of.Event.in.arm.2,Total.number.in.arm.1,Total.number.in.arm.2,Total,Arm.1,Arm.2,Number.of.arms,Arm1,Arm2
1,25,17,41,84,125,A,B,2,1,2
2,36,32,41,84,125,A,B,2,1,2
3,19,7,25,25,50,A,B,2,1,2
4,20,5,25,50,75,A,B,2,1,2
5,41,47,50,100,150,A,B,2,1,2
6,122,69,160,314,474,A,E,2,1,5
7,236,53,402,399,801,A,E,2,1,5
8,23,15,27,52,79,A,E,2,1,5
9,175,166,281,274,555,B,E,2,2,5
10,57,20,119,118,237,B,E,2,2,5
11,19,12,100,100,200,B,E,2,2,5
12,19,7,100,100,200,B,E,2,2,5
13,16,21,258,254,512,B,E,2,2,5
14,42,15,50,100,150,A,B,2,1,2
15,64,34,154,154,308,A,C,2,1,3
16,34,15,53,106,159,A,C,2,1,3
17,70,42,130,129,259,A,C,2,1,3
18,92,31,121,121,242,A,C,2,1,3
19,35,20,45,90,135,A,C,2,1,3
20,41,62,59,117,176,A,C,2,1,3
21,37,15,43,85,128,A,C,2,1,3
22,16,21,18,35,53,A,C,2,1,3
23,70,35,122,123,245,A,B,2,1,2
24,204,71,300,300,600,A,D,2,1,4
25,111,66,523,526,1049,C,E,2,3,5
26,60,50,305,297,602,B,C,2,2,3
