study,Arm.1,Arm.2,Arm.3,Number.of.arms,lor.2,lor.3,se.2,se.3,Arm1,Arm2,Arm3,V,PLA.lo
1,A,B,C,3,-1.8178,-1.832581464,0.4198,0.4062,1,2,3,0.1025,0.4463
2,A,B,NA,2,-2.4596,NA,0.5275,NA,1,2,NA,NA,1.9741
3,A,B,NA,2,-2.0971,NA,0.6463,NA,1,2,NA,NA,1.1527
4,A,B,NA,2,-3.5835,NA,0.6872,NA,1,2,NA,NA,1.3863
5,A,B,NA,2,-1.6365,NA,0.4191,NA,1,2,NA,NA,1.5163
6,A,E,NA,2,-2.4336,NA,0.2304,NA,1,5,NA,NA,1.1664
7,A,E,NA,2,-2.228,NA,0.1789,NA,1,5,NA,NA,0.3518
8,A,E,NA,2,-2.6521,NA,0.6222,NA,1,5,NA,NA,1.7492
9,B,E,NA,2,-0.0715,NA,0.1744,NA,2,5,NA,NA,NA
10,B,E,NA,2,-1.5052,NA,0.3064,NA,2,5,NA,NA,NA
11,B,E,NA,2,-0.5424,NA,0.3996,NA,2,5,NA,NA,NA
12,B,E,NA,2,-1.1367,NA,0.4675,NA,2,5,NA,NA,NA
13,B,E,NA,2,0.3098,NA,0.3443,NA,2,5,NA,NA,NA
14,A,B,NA,2,-3.3928,NA,0.4767,NA,1,2,NA,NA,1.6582
15,A,C,NA,2,-0.9202,NA,0.2539,NA,1,3,NA,NA,-0.3409
16,A,C,NA,2,-2.3847,NA,0.3996,NA,1,3,NA,NA,0.5819
17,A,C,NA,2,-0.8824,NA,0.2574,NA,1,3,NA,NA,0.1542
18,A,C,NA,2,-2.2203,NA,0.2979,NA,1,3,NA,NA,1.1545
19,A,C,NA,2,-2.5055,NA,0.4392,NA,1,3,NA,NA,1.2528
20,A,C,NA,2,-0.7034,NA,0.338,NA,1,3,NA,NA,0.8232
21,A,C,NA,2,-3.3596,NA,0.5241,NA,1,3,NA,NA,1.8192
22,A,C,NA,2,-1.674,NA,0.8256,NA,1,3,NA,NA,2.0794
23,A,B,NA,2,-1.2192,NA,0.271,NA,1,2,NA,NA,0.2973
24,A,D,NA,2,-1.9248,NA,0.1838,NA,1,4,NA,NA,0.7538
25,C,E,NA,2,-0.6301,NA,0.1696,NA,3,5,NA,NA,NA
26,B,C,NA,2,-0.1905,NA,0.2117,NA,2,3,NA,NA,NA
